group,report_date,ratio,n_nonnull,p50,p75,p90,p95,p99
regional_banks,2020-03-31,assets_growth_yoy_ma_4y,130,0.10271786223740682,0.17691285068829057,0.2977836213333761,0.3702895600596207,0.5148381022262885
regional_banks,2020-06-30,assets_growth_yoy_ma_4y,134,0.11320179152323825,0.1830524435914178,0.2640636420375075,0.3587999657404337,0.5929886180516574
regional_banks,2020-09-30,assets_growth_yoy_ma_4y,137,0.11339262358071764,0.18279248947125373,0.2911914579876356,0.3652966978469079,0.9115022310182244
regional_banks,2020-12-31,assets_growth_yoy_ma_4y,137,0.11518500262388429,0.1808564525815644,0.2847963944204355,0.33711273564647576,0.6151918476666677
regional_banks,2021-03-31,assets_growth_yoy_ma_4y,144,0.11978743555817856,0.19326428020714467,0.2816170598070122,0.36076390263820307,1.1618755359756745
regional_banks,2021-06-30,assets_growth_yoy_ma_4y,147,0.12301264145975345,0.19494629280065984,0.3051569988272542,0.46259427618359567,4.143922161653849
regional_banks,2021-09-30,assets_growth_yoy_ma_4y,149,0.12275635969713738,0.19280117969499497,0.30179962891416906,0.4828894053258892,23.53458324360181
regional_banks,2021-12-31,assets_growth_yoy_ma_4y,147,0.12433871407941977,0.19866364132953845,0.3083473524044768,0.40379337352764505,23.986389365803134
regional_banks,2022-03-31,assets_growth_yoy_ma_4y,147,0.13616244209512732,0.19891337921648505,0.2991463497850748,0.4867603559523355,23.8012458888021
regional_banks,2022-06-30,assets_growth_yoy_ma_4y,146,0.1430937811203299,0.20613479748638885,0.2961474858590862,0.46261078125335997,24.014968157375648
regional_banks,2022-09-30,assets_growth_yoy_ma_4y,145,0.13728624769736986,0.20398961798200865,0.3115924769879171,0.4590641160860539,24.250484933487268
regional_banks,2022-12-31,assets_growth_yoy_ma_4y,145,0.1328874083673107,0.2068748030652277,0.3205434180123345,0.4627758767649767,2.622571330564245
regional_banks,2023-03-31,assets_growth_yoy_ma_4y,146,0.13379925301400653,0.2059742157914502,0.3153737632087332,0.43349489896497273,6.110975245157382
regional_banks,2023-06-30,assets_growth_yoy_ma_4y,142,0.13029927680368567,0.199646820274562,0.2984572205998496,0.4755607998106317,6.322064104786017
regional_banks,2023-09-30,assets_growth_yoy_ma_4y,142,0.12067537597682919,0.19675072179926875,0.2885634288803843,0.389230307349603,6.051210476632074
regional_banks,2023-12-31,assets_growth_yoy_ma_4y,144,0.11430150742727996,0.19155559299855363,0.28573601110817487,0.47764722238470775,5.586763091511591
regional_banks,2024-03-31,assets_growth_yoy_ma_4y,143,0.10455944858097226,0.17313896760075193,0.2780304415671064,0.47638322597530336,1.1109087077277846
regional_banks,2024-06-30,assets_growth_yoy_ma_4y,141,0.0924145181839324,0.15219821664163807,0.24651347310343474,0.340726797173057,1.1047313298176011
regional_banks,2024-09-30,assets_growth_yoy_ma_4y,144,0.07859612362885371,0.1436543092963021,0.23040981640947897,0.4130806711153521,1.085816605496295
regional_banks,2024-12-31,assets_growth_yoy_ma_4y,144,0.06937976301551275,0.12312505172589164,0.21333976788919112,0.360702177021452,1.0686170928058563
regional_banks,2025-03-31,assets_growth_yoy_ma_4y,143,0.06075557124734511,0.11750420358173541,0.2059078371843125,0.2937877156700882,0.9130467132497699
regional_banks,2025-06-30,assets_growth_yoy_ma_4y,141,0.06396396748260161,0.11275536105435632,0.19685247776776907,0.320101864331881,0.9282769983361987
regional_banks,2025-09-30,assets_growth_yoy_ma_4y,142,0.0632060859031442,0.11949347377584392,0.18868356045058599,0.3140933600934787,0.928367371507677
regional_banks,2025-12-31,assets_growth_yoy_ma_4y,136,0.055285717973614514,0.11398585920986892,0.18541193047696955,0.3284670925885396,0.7681446264672391
