PERMNO,date,CUSIP,PRC,RET,SHROUT,CFACPR,CFACSHR
11786,2000-10-24,78486Q10,43.00000,0.023810,48862,1,1
11786,2000-10-25,78486Q10,41.75000,-0.029070,48862,1,1
11786,2000-10-26,78486Q10,41.68750,-0.001497,48862,1,1
11786,2000-10-27,78486Q10,42.93750,0.029985,48862,1,1
11786,2000-10-30,78486Q10,45.12500,0.050946,48862,1,1
11786,2000-10-31,78486Q10,46.25000,0.024931,48884,1,1
11786,2000-11-01,78486Q10,43.75000,-0.054054,48884,1,1
11786,2000-11-02,78486Q10,48.18750,0.101429,48884,1,1
11786,2000-11-03,78486Q10,47.56250,-0.012970,48884,1,1
11786,2000-11-06,78486Q10,47.56250,0.000000,48884,1,1
11786,2000-11-07,78486Q10,46.31250,-0.026281,48884,1,1
11786,2000-11-08,78486Q10,46.31250,0.000000,48884,1,1
11786,2000-11-09,78486Q10,44.37500,-0.041835,48884,1,1
11786,2000-11-10,78486Q10,41.81250,-0.057746,48884,1,1
11786,2000-11-13,78486Q10,40.37500,-0.034380,48884,1,1
11786,2000-11-14,78486Q10,41.87500,0.037152,48884,1,1
11786,2000-11-15,78486Q10,42.93750,0.025373,48884,1,1
11786,2000-11-16,78486Q10,41.68750,-0.029112,48884,1,1
11786,2000-11-17,78486Q10,39.62500,-0.049475,48884,1,1
11786,2000-11-20,78486Q10,39.25000,-0.009464,48884,1,1
11786,2000-11-21,78486Q10,37.75000,-0.038217,48884,1,1
11786,2000-11-22,78486Q10,36.50000,-0.033113,48884,1,1
11786,2000-11-24,78486Q10,36.25000,-0.006849,48884,1,1
11786,2000-11-27,78486Q10,36.75000,0.013793,48884,1,1
11786,2000-11-28,78486Q10,35.06250,-0.045918,48884,1,1
11786,2000-11-29,78486Q10,37.37500,0.065954,48884,1,1
11786,2000-11-30,78486Q10,34.50000,-0.076923,48884,1,1
11786,2000-12-01,78486Q10,36.75000,0.065217,48884,1,1
11786,2000-12-04,78486Q10,36.12500,-0.017007,48884,1,1
11786,2000-12-05,78486Q10,40.87500,0.131488,48884,1,1
